iter	Passed	Remaining
1108	262197	2574923
1109	262466	2575008
1110	262814	2575869
1111	263098	2576097
1112	263437	2576854
1113	263680	2576687
1114	263914	2576416
1115	264146	2576141
1116	264365	2575725
1117	264575	2575237
1118	264776	2574654
1119	265091	2575170
1120	265330	2574956
1121	265531	2574373
1122	265751	2573982
1123	265985	2573712
1124	266205	2573320
1125	266426	2572932
1126	266620	2572284
1127	266830	2571794
1128	267020	2571106
1129	267216	2570485
1130	267399	2569726
1131	267600	2569151
1132	267787	2568443
1133	267965	2567652
1134	268150	2566921
1135	268366	2566493
1136	268555	2565801
1137	268762	2565289
1138	268958	2564667
1139	269164	2564143
1140	269361	2563534
1141	269555	2562899
1142	269764	2562408
1143	269963	2561819
1144	270178	2561391
1145	270364	2560680
1146	270565	2560115
1147	270768	2559563
1148	270970	2559010
1149	271170	2558433
1150	271383	2557986
1151	271598	2557551
1152	271865	2557613
1153	272069	2557074
1154	272278	2556585
1155	272473	2555973
1156	272655	2555235
1157	272869	2554794
1158	273066	2554198
1159	273256	2553535
1160	273437	2552794
1161	273649	2552332
1162	273903	2552273
1163	274117	2551834
1164	274296	2551078
1165	274542	2550936
1166	274776	2550684
1167	274978	2550143
1168	275255	2550293
1169	275500	2550147
1170	275744	2549993
1171	276010	2550031
1172	276261	2549942
1173	276533	2550043
1174	276802	2550121
1175	277045	2549945
1176	277265	2549572
1177	277483	2549172
1178	277689	2548664
1179	277893	2548139
1180	278096	2547604
1181	278293	2547024
1182	278476	2546304
1183	278667	2545668
1184	278871	2545141
1185	279066	2544541
1186	279251	2543850
1187	279437	2543159
1188	279641	2542639
1189	279837	2542054
1190	280032	2541452
1191	280243	2540999
1192	280474	2540723
1193	280773	2541073
1194	280989	2540661
1195	281203	2540235
1196	281399	2539647
1197	281652	2539576
1198	281864	2539135
1199	282121	2539095
1200	282352	2538825
1201	282600	2538705
1202	282829	2538415
1203	283033	2537898
1204	283230	2537326
1205	283430	2536775
1206	283661	2536502
1207	283870	2536032
1208	284069	2535477
1209	284271	2534952
1210	284467	2534363
1211	284756	2534610
1212	285007	2534526
1213	285233	2534209
1214	285456	2533863
1215	285708	2533787
1216	285928	2533419
1217	286251	2533958
1218	286459	2533484
1219	286675	2533082
1220	286902	2532778
1221	287095	2532169
1222	287330	2531939
1223	287556	2531625
1224	287762	2531136
1225	287954	2530525
1226	288152	2529962
1227	288364	2529529
1228	288594	2529256
1229	288869	2529366
1230	289092	2529032
1231	289328	2528802
1232	289578	2528702
1233	289793	2528296
1234	289997	2527790
1235	290186	2527157
1236	290383	2526594
1237	290577	2526002
1238	290822	2525862
1239	291045	2525521
1240	291440	2526676
1241	291796	2527495
1242	292172	2528480
1243	292534	2529345
1244	292875	2530024
1245	293196	2530522
1246	293497	2530858
1247	293766	2530909
1248	294026	2530888
1249	294255	2530595
1250	294516	2530581
1251	294768	2530489
1252	294985	2530096
1253	295224	2529887
1254	295477	2529805
1255	295729	2529710
1256	295963	2529465
1257	296209	2529322
1258	296452	2529150
1259	296690	2528929
1260	296954	2528942
1261	297227	2529023
1262	297525	2529322
1263	297768	2529150
1264	298010	2528966
1265	298234	2528630
1266	298503	2528677
1267	298764	2528660
1268	299010	2528508
1269	299273	2528505
1270	299499	2528188
1271	299740	2527999
1272	300019	2528126
1273	300231	2527693
1274	300478	2527553
1275	300673	2526975
1276	300924	2526871
1277	301187	2526862
1278	301416	2526576
1279	301659	2526398
1280	301912	2526311
1281	302154	2526126
1282	302402	2525987
1283	302649	2525848
1284	302868	2525473
1285	303116	2525346
1286	303387	2525401
1287	303596	2524945
1288	303848	2524843
1289	304087	2524631
1290	304349	2524619
1291	304582	2524353
1292	304833	2524244
1293	305068	2524002
1294	305296	2523703
1295	305540	2523541
1296	305787	2523392
1297	306025	2523176
1298	306274	2523052
1299	306537	2523040
1300	306795	2522990
1301	307045	2522863
1302	307305	2522828
1303	307606	2523125
1304	307921	2523538
1305	308216	2523791
1306	308544	2524303
1307	308806	2524283
1308	309058	2524176
1309	309333	2524254
1310	309566	2523992
1311	309809	2523813
1312	310053	2523639
1313	310314	2523611
1314	310588	2523680
1315	310796	2523216
1316	311032	2522977
1317	311268	2522742
1318	311540	2522792
1319	311811	2522840
1320	312059	2522701
1321	312320	2522660
1322	312613	2522880
1323	312834	2522523
1324	313078	2522350
1325	313319	2522150
1326	313555	2521913
1327	313832	2522000
1328	314063	2521727
1329	314322	2521668
1330	314570	2521527
1331	314808	2521302
1332	315060	2521190
1333	315312	2521081
1334	315575	2521056
1335	315827	2520942
1336	316081	2520852
1337	316323	2520656
1338	316557	2520401
1339	316804	2520252
1340	317056	2520134
1341	317266	2519690
1342	317523	2519619
1343	317734	2519178
1344	317983	2519044
1345	318178	2518479
1346	318433	2518391
1347	318656	2518048
1348	318912	2517967
1349	319149	2517733
1350	319401	2517622
1351	319662	2517579
1352	319911	2517438
1353	320142	2517160
1354	320391	2517023
1355	320614	2516682
1356	320820	2516205
1357	321105	2516348
1358	321315	2515906
1359	321578	2515879
1360	321774	2515322
1361	322015	2515129
1362	322267	2515012
1363	322567	2515269
1364	322808	2515070
1365	323057	2514925
1366	323387	2515423
1367	323662	2515482
1368	324057	2516477
1369	324351	2516685
1370	324646	2516897
1371	324965	2517299
1372	325269	2517581
1373	325506	2517341
1374	325798	2517532
1375	325992	2516968
1376	326234	2516767
1377	326475	2516561
1378	326776	2516821
1379	327019	2516626
1380	327262	2516434
1381	327505	2516249
1382	327690	2515614
1383	327886	2515060
1384	328106	2514690
1385	328301	2514137
1386	328521	2513772
1387	328799	2513848
1388	328993	2513284
1389	329194	2512776
1390	329393	2512249
1391	329632	2512030
1392	329861	2511731
1393	330165	2512007
1394	330391	2511683
1395	330588	2511145
1396	330809	2510786
1397	331001	2510214
1398	331206	2509734
1399	331393	2509125
1400	331591	2508596
1401	331786	2508040
1402	331992	2507569
1403	332193	2507065
1404	332398	2506592
1405	332594	2506046
1406	332803	2505602
1407	333013	2505169
1408	333213	2504655
1409	333417	2504176
1410	333604	2503573
1411	333806	2503077
1412	333982	2502389
1413	334175	2501825
1414	334374	2501312
1415	334573	2500793
1416	334776	2500307
1417	334965	2499723
1418	335179	2499317
1419	335484	2499596
1420	335728	2499418
1421	335938	2498988
1422	336124	2498372
1423	336317	2497818
1424	336511	2497272
1425	336701	2496694
1426	336904	2496208
1427	337106	2495722
1428	337300	2495173
1429	337483	2494548
1430	337699	2494165
1431	337907	2493717
1432	338093	2493117
1433	338286	2492560
1434	338491	2492095
1435	338721	2491821
1436	339016	2492021
1437	339266	2491887
1438	339567	2492128
1439	339791	2491805
1440	340018	2491501
1441	340296	2491574
1442	340561	2491554
1443	340893	2492015
1444	341113	2491660
1445	341296	2491042
1446	341491	2490504
1447	341681	2489931
1448	341949	2489927
1449	342172	2489601
1450	342357	2488989
1451	342548	2488428
1452	342724	2487759
1453	342926	2487281
1454	343128	2486795
1455	343325	2486280
1456	343510	2485674
1457	343714	2485208
1458	343902	2484632
1459	344099	2484117
1460	344338	2483906
1461	344528	2483337
1462	344720	2482786
1463	344962	2482596
1464	345234	2482624
1465	345417	2482007
1466	345595	2481359
1467	345789	2480826
1468	345982	2480290
1469	346273	2480446
1470	346555	2480543
1471	346755	2480055
1472	347011	2479963
1473	347218	2479524
1474	347415	2479013
1475	347622	2478578
1476	347850	2478287
1477	348062	2477888
1478	348289	2477588
1479	348545	2477497
1480	348751	2477052
1481	348951	2476569
1482	349141	2476009
1483	349352	2475601
1484	349551	2475107
1485	349743	2474565
1486	349941	2474064
1487	350132	2473513
1488	350323	2472971
1489	350608	2473081
1490	350879	2473098
1491	351121	2472911
1492	351328	2472476
1493	351524	2471966
1494	351796	2471991
